S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin,Margin_Percentage
1,Anakapalle(5),C.M.RAMESH,762069.0,296530.0,38.911174709901594
2,Rajahmundry(8),DAGGUBATI PURANDHESHWARI,726515.0,239139.0,32.915906760355945
3,Narsapuram(9),BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),707343.0,276802.0,39.13264144834967
4,Arunachal West(1),KIREN RIJIJU,205417.0,100738.0,49.04073177974559
5,Arunachal East(2),TAPIR GAO,145581.0,30421.0,20.896270804569276
6,Darrang-Udalguri(4),DILIP SAIKIA,868387.0,329012.0,37.887715960741005
7,Guwahati(5),BIJULI KALITA MEDHI,894887.0,251090.0,28.05829115854851
8,Diphu(6),AMARSING TISSO,334620.0,147603.0,44.1106329567868
9,Karimganj(7),KRIPANATH MALLAH,545093.0,18360.0,3.3682325768263395
10,Silchar (8),PARIMAL SUKLABAIDYA,652405.0,264311.0,40.51333144289207
11,Kaziranga(10),KAMAKHYA PRASAD TASA,897043.0,248947.0,27.751958378806812
12,Sonitpur(11),RANJIT DUTTA,775788.0,361408.0,46.585922958333974
13,Lakhimpur(12),PRADAN BARUAH,663122.0,201257.0,30.349920527444425
14,Dibrugarh(13),SARBANANDA SONOWAL,693762.0,279321.0,40.26179006633399
15,Paschim Champaran(2),DR.SANJAY JAISWAL,580421.0,136568.0,23.5291279950243
16,Purvi Champaran(3),RADHA MOHAN SINGH,542193.0,88287.0,16.283316088551494
17,Madhubani(6),ASHOK KUMAR YADAV,553428.0,151945.0,27.45524259704966
18,Araria(9),PRADEEP KUMAR SINGH,600146.0,20094.0,3.3481852749164367
19,Darbhanga(14),GOPAL JEE THAKUR,566630.0,178156.0,31.44132855655366
20,Muzaffarpur(15),RAJ BHUSHAN CHOUDHARY,619749.0,234927.0,37.906797751993146
21,Maharajganj(19),"JANARDAN SINGH ""SIGRIWAL""",529533.0,102651.0,19.385194123878964
22,Saran(20),RAJIV PRATAP RUDY,471752.0,13661.0,2.895801183672777
23,Ujiarpur(22),NITYANAND RAI,515965.0,60102.0,11.648464527632688
24,Begusarai(24),GIRIRAJ SINGH,649331.0,81480.0,12.548299711549271
25,Patna Sahib(30),RAVI SHANKAR PRASAD,588270.0,153846.0,26.15227701565608
26,Nawada(39),VIVEK THAKUR,410608.0,67670.0,16.48043876397927
27,North Goa(1),SHRIPAD YESSO NAIK,257326.0,116015.0,45.08483402376752
28,Kachchh(1),CHAVDA VINOD LAKHAMSHI,659574.0,268782.0,40.75084827479555
29,Patan(3),DABHI  BHARATSINHJI  SHANKARJI,591947.0,31876.0,5.384941557267796
30,Mahesana(4),HARIBHAI PATEL,686406.0,328046.0,47.79183165648319
31,Sabarkantha(5),SHOBHANABEN MAHENDRASINH BARAIYA,677318.0,155682.0,22.985067575348655
32,Gandhinagar(6),AMIT SHAH,1010972.0,744716.0,73.66336555315083
33,Ahmedabad East(7),HASMUKHBHAI PATEL (H.S.PATEL),770459.0,461755.0,59.9324558477479
34,Ahmedabad West(8),DINESHBHAI MAKWANA (ADVOCATE),611704.0,286437.0,46.826079280174724
35,Surendranagar(9),CHANDUBHAI CHHAGANBHAI SHIHORA,669749.0,261617.0,39.0619470876403
36,Rajkot(10),PARSHOTTAMBHAI RUPALA,857984.0,484260.0,56.44161196479188
37,Porbandar(11),DR. MANSUKH MANDAVIYA,633118.0,383360.0,60.55111369444558
38,Jamnagar(12),POONAMBEN HEMATBHAI MAADAM,620049.0,238008.0,38.38535341561715
39,Junagadh(13),CHUDASAMA RAJESHBHAI NARANBHAI,584049.0,135494.0,23.199080899034154
40,Amreli(14),BHARATBHAI MANUBHAI SUTARIYA,580872.0,321068.0,55.2734509496068
41,Bhavnagar(15),NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),716883.0,455289.0,63.50952665916195
42,Anand(16),MITESH PATEL (BAKABHAI),612484.0,89939.0,14.68430195727562
43,Kheda(17),DEVUSINH CHAUHAN,744435.0,357758.0,48.0576544627805
44,Panchmahal(18),RAJPALSINH MAHENDRASINH JADAV,794579.0,509342.0,64.10212200423118
45,Dahod(19),JASWANTSINH SUMANBHAI BHABHOR,688715.0,333677.0,48.44921339015413
46,Vadodara(20),DR. HEMANG JOSHI,873189.0,582126.0,66.66666666666666
47,Chhota Udaipur(21),JASHUBHAI BHILUBHAI RATHVA,796589.0,398777.0,50.06057075857186
48,Bharuch(22),MANSUKHBHAI DHANJIBHAI VASAVA,608157.0,85696.0,14.091098186816891
49,Bardoli(23),PARBHUBHAI NAGARBHAI VASAVA,763950.0,230253.0,30.139799725112898
